"indice","valor"
1,14.883005383499
2,15.6418226707617
3,14.998190605558
4,16.2641528787308
5,15.4972763398549
6,15.3032115273597
7,15.4383314087172
8,15.3860836627251
9,15.4598310171668
10,14.3659971981444
11,16.4719197127621
12,15.2129148381018
13,15.4328246120839
14,15.5038086137635
15,15.953817377495
16,15.3112037854533
17,14.8183029803244
18,14.8275308137888
19,15.1062968570855
20,15.3698020735484
21,14.5796803516105
22,15.2143144619309
23,15.3305950798953
24,15.2349871111113
25,15.0924464323971
26,15.8471698826304
27,15.6259074396325
28,15.2562737523455
29,14.569766001387
30,15.5268363875573
31,16.118988335743
32,14.5762718529263
33,15.7579934235727
34,15.0129795132371
35,15.176484073816
36,15.449751626836
37,14.6129498495646
38,15.3710780182114
39,15.2774401320781
40,14.9858305403011
41,16.0390986968259
42,14.6816263287771
43,15.9023239062683
44,15.4191913757866
45,14.4845396317704
46,15.8141020146806
47,14.8052333228758
48,16.1385391234634
49,14.3230137144496
50,15.5826172112463
51,15.6275477749985
52,15.733706436899
53,14.5728205414235
54,15.5580487164905
55,14.7909517909475
56,15.4244694360122
57,14.7547239609422
58,15.6761853221871
59,15.5976267428931
60,15.3400111167639
61,16.019199955157
62,14.6047774304289
63,15.2108406570384
64,15.7195434156756
65,14.4895480759948
66,15.42343974657
67,15.1032015270969
68,14.8131840760472
69,14.7586596185305
70,16.357960431463
71,15.9516445583801
72,14.4813319912643
73,15.4295646297857
74,15.1444768097083
75,14.603131428569
76,15.989402668783
77,15.2918032215209
78,14.8963043693545
79,16.345744213263
80,14.7077951357411
81,14.6095838988504
82,15.6969338147595
83,15.9387858692284
84,15.3813317051341
85,15.9695258121027
86,14.9336762825498
87,15.3016712302797
88,16.1541525252303
89,15.6649685533069
90,14.8993605902456
91,15.9269694024368
92,15.1770720395923
93,15.7660332926025
94,14.6304369206408
95,15.027558013723
96,15.5391919734227
97,15.463420423239
98,15.3467338163855
99,16.2226940493089
100,15.4581050929771
101,14.9043566402474
102,15.1889562598874
103,14.9711227864209
104,14.1614632269737
105,15.1969581424327
106,14.7794730828021
107,15.555434575806
108,15.1889667509624
109,14.6980950948097
110,15.5000756275832
111,15.8827459739666
112,15.2963509129747
113,15.5569154430022
114,15.501255932855
115,16.1421030614071
116,14.7603258780853
117,15.0972233832968
118,15.9384565863393
119,14.7833868876741
120,14.9023454475321
121,15.8818210267854
122,16.0053979978795
123,15.5285966124772
124,14.3928435636039
125,15.2245750660222
126,15.2916813168264
127,14.7050088282386
128,14.9640425883672
129,15.3378324673396
130,15.2686968015002
131,15.3280896767994
132,15.4476360301053
133,15.9673809448249
134,16.0894263056694
135,15.9075680681502
136,14.205955541127
137,13.5372836078955
138,16.3801807560336
139,15.7646058628421
140,15.2787671171824
141,15.5624346477908
142,15.4198828313973
143,15.1846795125486
144,15.0341437691086
145,14.7513129414436
146,14.4873158741942
147,14.1360021360539
148,14.514269199986
149,14.8722113064083
150,12.5014112862594
151,15.8367486365265
152,15.8924714682576
153,15.2974093998268
154,14.744996079029
155,14.8548247155035
156,14.3613079917289
157,14.855259953589
158,15.9084408055447
159,15.7113733536008
